ID,Parent_ID,Category
11423,10343,/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Waxing Products & Accessories
10047,10005,/Beauty & Personal Care/Skin Care
10309,10047,/Beauty & Personal Care/Skin Care/Body Cleansing
11410,10309,/Beauty & Personal Care/Skin Care/Body Cleansing/Bath Additions
11411,10309,/Beauty & Personal Care/Skin Care/Body Cleansing/Bathing Equipment
12721,"1,03,09,10,060",/Beauty & Personal Care/Skin Care/Body Cleansing/Body Wipes
11412,"1,03,09,10,060",/Beauty & Personal Care/Skin Care/Body Cleansing/Hand & Body Soaps & Cleansers
12722,11412,/Beauty & Personal Care/Skin Care/Body Cleansing/Hand & Body Soaps & Cleansers/Liquid Soaps
10310,10047,/Beauty & Personal Care/Skin Care/Body Lotions & Oils
13850,10047,/Beauty & Personal Care/Skin Care/Exfoliants & Scrubs
10061,10047,/Beauty & Personal Care/Skin Care/Face Care
10358,10061,/Beauty & Personal Care/Skin Care/Face Care/Face Lotions & Moisturizers
10359,10061,/Beauty & Personal Care/Skin Care/Face Care/Facial Cleansers & Make-Up Removers
10049,10005,/Beauty & Personal Care/Spa & Medical Spa
10316,10049,/Beauty & Personal Care/Spa & Medical Spa/Aromatherapy & Essential Oils
10314,10049,/Beauty & Personal Care/Spa & Medical Spa/At-Home Spa Equipment
10317,10049,/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures
11418,10317,/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Laser Skin Treatments
11417,10317,/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Microdermabrasion
11416,10317,/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Non-Surgical Fat Loss
11415,"1,03,17,10,054",/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Permanent Make-up Services
12939,10317,/Beauty & Personal Care/Spa & Medical Spa/Cosmetic Procedures/Wrinkle Treatments
13704,10049,/Beauty & Personal Care/Spa & Medical Spa/Day Spas & Salon Spas
13705,"10,04,91,20,66,10,150",/Beauty & Personal Care/Spa & Medical Spa/Destination & Resort Spas
13446,10049,/Beauty & Personal Care/Spa & Medical Spa/Saunas
10048,10005,/Beauty & Personal Care/Tanning & Sun Care
10311,10048,/Beauty & Personal Care/Tanning & Sun Care/Sun Lotions & Sunscreen
11413,10311,/Beauty & Personal Care/Tanning & Sun Care/Sun Lotions & Sunscreen/Self-Tanning Lotions & Products
10313,10048,/Beauty & Personal Care/Tanning & Sun Care/Tanning Beds
10312,"1,00,48,10,049",/Beauty & Personal Care/Tanning & Sun Care/Tanning Services
